Source,web_scraper_order,specialization,fees,avg_rate,waiting_time,clinic_location,rate_count,doctor_views,pages
24 (1),1676137444-753,Internist,210 EGP,4.5,Waiting Time : 31 Minutes,El-Mansoura : sandob square,From 66 Visitors,"5,169 View(s)",
25 (1),1676137447-754,ENT Doctor,300 EGP,4.5,Waiting Time : 3 Hours and 59 Minutes,El-Mokattam : Street 9,From 309 Visitors,"16,425 View(s)",
26 (1),1676137452-755,General Surgeon,300 EGP,4.5,Waiting Time : 7 Minutes,El-Sheikh Zayed : Mouez plaza-,From 113 Visitors,"5,341 View(s)",
27 (1),1676137456-756,Internist,220 EGP,5,Waiting Time : 16 Minutes,Tanta : Elmoderya st,From 130 Visitors,"10,157 View(s)",
28 (1),1676137459-757,Cardiothoracic Surgeon,500 EGP,,null,El-Giza : Morad street,null,"6,053 View(s)",
29 (1),1676137462-758,Cardiologist,200 EGP,5,Waiting Time : 37 Minutes,"Shoubra El-Kheima : 15 May, St.",From 52 Visitors,"3,582 View(s)",
30 (1),1676137465-759,Internist,250 EGP,4,Waiting Time : 4 Hours and 34 Minutes,El-Zaitoun : Seliem El Awal,From 113 Visitors,"7,788 View(s)",
31 (1),1676134721-420,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,698 View(s)",1048
32 (1),1676134724-421,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,178 View(s)",1048
33 (1),1676134727-422,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,737 View(s)",1048
34 (1),1676134730-423,Gynecologist,150 EGP,,null,El-Haram,null,"1,148 View(s)",1048
35 (1),1676134733-424,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,044 View(s)",1048
36 (1),1676134741-425,ENT Doctor,280 EGP,4.5,Waiting Time : 25 Minutes,Hadayek El-Ahram,From 787 Visitors,"28,225 View(s)",...
37 (1),1676134744-426,ENT Doctor,200 EGP,4.5,Waiting Time : 9 Minutes,El-Abbasia,From 256 Visitors,"15,653 View(s)",...
38 (1),1676134748-427,Cardiologist,400 EGP,4,Waiting Time : 8 Minutes,El-Mohandessin : ahmed orabi,From 18 Visitors,"6,740 View(s)",...
39 (1),1676134751-428,Psychiatrist,400 EGP,4,Waiting Time : 14 Minutes,El-Mokattam,From 280 Visitors,"20,651 View(s)",...
40 (1),1676134756-429,Dentist,250 EGP,5,Waiting Time : 20 Minutes,El-Maadi : 77 Street Extension - Arab El Maadi,From 147 Visitors,"7,569 View(s)",...
41 (1),1676134759-430,Ophthalmologist,150 EGP,4.5,Waiting Time : 30 Minutes,Faisal : faisal main street,From 725 Visitors,"23,780 View(s)",...
42 (1),1676134766-431,Endocrinologist,400 EGP,4.5,Waiting Time : 39 Minutes,New Cairo,From 540 Visitors,"18,394 View(s)",...
43 (1),1676134769-432,Rheumatologist,300 EGP,4.5,Waiting Time : 24 Minutes,Nasr City : Ahmed qasim branched from abbas elakaad,From 163 Visitors,"12,433 View(s)",...
44 (1),1676134772-433,Orthopedist,200 EGP,4.5,Waiting Time : 33 Minutes,"Sidy Bishr : 196 Gamal Abdelnasser st, - Beside Baba Sharo.",From 280 Visitors,"11,489 View(s)",...
45 (1),1676134786-434,Physiotherapist,150 EGP,4.5,Waiting Time : 15 Minutes,Faisal : Huda Mosque Street,From 29 Visitors,"4,156 View(s)",...
46 (1),1676134793-435,Physiotherapist,250 EGP,4.5,Waiting Time : 8 Minutes,Nasr City : metwally el shaarawy,From 27 Visitors,"8,706 View(s)",70
47 (1),1676134798-436,Ophthalmologist,130 EGP,5,Waiting Time : 40 Minutes,Miamy,From 1537 Visitors,"45,455 View(s)",70
48 (1),1676134801-437,Gynecologist,80 EGP,4.5,Waiting Time : 19 Minutes,Faisal : king Faisal Street,From 1564 Visitors,"86,413 View(s)",70
49 (1),1676134804-438,Dermatologist,250 EGP,4.5,Waiting Time : 1 Hour and 36 Minutes,Faisal : gendia  mall _eltawabek,From 373 Visitors,"23,387 View(s)",70
50 (1),1676134807-439,ENT Doctor,210 EGP,4.5,Waiting Time : 22 Minutes,El-Mansoura : gehan,From 555 Visitors,"33,702 View(s)",70
51 (1),1676134810-440,Internist,160 EGP,4.5,Waiting Time : 17 Minutes,El-Zagazig : mahmoud hashem street-Kawmya,From 131 Visitors,"9,435 View(s)",70
52 (1),1676134814-441,Cardiologist,150 EGP,4.5,Waiting Time : 45 Minutes,El-Mansoura : salah salem street,From 169 Visitors,"20,085 View(s)",70
53 (1),1676134819-442,Neurologist,300 EGP,4.5,Waiting Time : 35 Minutes,El-Dokki : Wezaret El Zeraa Street,From 597 Visitors,"41,945 View(s)",
54 (1),1676134822-443,Dentist,100 EGP,4.5,Waiting Time : 24 Minutes,Faisal : 106 king fisal above ahli bank front of vodafone maryotya,From 209 Visitors,"10,576 View(s)",
55 (1),1676134826-444,Dentist,70 EGP,4,Waiting Time : 1 Hour,Sidy Bishr,From 428 Visitors,"37,458 View(s)",
56 (1),1676134829-445,Dentist,300 EGP,4.5,Waiting Time : 5 Minutes,New Cairo : 90,From 84 Visitors,"5,768 View(s)",
57 (1),1676134832-446,Physiotherapist,300 EGP,4.5,Waiting Time : 8 Minutes,Hadayek El-Ahram : Fifth North Street after Menkaure Gate,From 65 Visitors,"11,555 View(s)",
58 (1),1676134835-447,Dentist,150 EGP,4.5,Waiting Time : 22 Minutes,Shoubra : shikolany,From 362 Visitors,"19,942 View(s)",
59 (1),1676134838-448,Dentist,120 EGP,4.5,Waiting Time : 24 Minutes,Assiut city : yousry ragheb extention,From 178 Visitors,"14,577 View(s)",
60 (1),1676134842-449,Dentist,200 EGP,4,Waiting Time : 17 Minutes,El-Sayeda Zainab : A Elkasr Eleini,From 61 Visitors,"4,902 View(s)",
61 (1),1676134845-450,Physiotherapist,100 EGP,4.5,Waiting Time : 14 Minutes,Sidy Bishr : Alaman st. from sidi Beshr mosque st.,From 176 Visitors,"9,815 View(s)",
62 (1),1676134848-451,Gastroenterologist,300 EGP,5,Waiting Time : 29 Minutes,El-Maadi,From 683 Visitors,"18,859 View(s)",
63 (1),1676134375-385,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,697 View(s)",1048
64 (1),1676134378-386,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,178 View(s)",1048
65 (1),1676134380-387,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,737 View(s)",1048
66 (1),1676134383-388,Gynecologist,150 EGP,,null,El-Haram,null,"1,148 View(s)",1048
67 (1),1676134386-389,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,044 View(s)",1048
68 (1),1676134393-390,Plastic Surgeon,200 EGP,4,Waiting Time : 23 Minutes,El-Zagazig,From 177 Visitors,"32,980 View(s)",...
69 (1),1676134396-391,Internist,160 EGP,4.5,Waiting Time : 17 Minutes,El-Zagazig : mahmoud hashem street-Kawmya,From 131 Visitors,"9,434 View(s)",...
70 (1),1676134399-392,Pulmonologist,300 EGP,4.5,Waiting Time : 29 Minutes,El-Mokattam,From 510 Visitors,"22,094 View(s)",...
71 (1),1676134403-393,Dermatologist,250 EGP,4.5,Waiting Time : 1 Hour and 36 Minutes,Faisal : gendia  mall _eltawabek,From 373 Visitors,"23,386 View(s)",...
72 (1),1676134407-394,Neurologist,300 EGP,4.5,Waiting Time : 35 Minutes,El-Dokki : Wezaret El Zeraa Street,From 597 Visitors,"41,944 View(s)",...
73 (1),1676134410-395,Dentist,100 EGP,4.5,Waiting Time : 7 Minutes,"El-Zagazig : ,  El Obour Bridge extension",From 191 Visitors,"12,674 View(s)",...
74 (1),1676134414-396,Dentist,100 EGP,4.5,Waiting Time : 18 Minutes,Shoubra : shoubra street,From 28 Visitors,"6,715 View(s)",...
75 (1),1676134417-397,Dentist,150 EGP,4,Waiting Time : 21 Minutes,El-Fayoum city,From 115 Visitors,"12,999 View(s)",...
76 (1),1676134424-398,Physiotherapist,300 EGP,4.5,Waiting Time : 8 Minutes,Hadayek El-Ahram : Fifth North Street after Menkaure Gate,From 65 Visitors,"11,554 View(s)",...
77 (1),1676134437-399,Dentist,300 EGP,4.5,Waiting Time : 5 Minutes,New Cairo : 90,From 84 Visitors,"5,767 View(s)",...
78 (1),1676134444-400,Dentist,120 EGP,4.5,Waiting Time : 24 Minutes,Assiut city : yousry ragheb extention,From 178 Visitors,"14,576 View(s)",68
79 (1),1676134453-401,Dentist,70 EGP,4,Waiting Time : 1 Hour,Sidy Bishr,From 428 Visitors,"37,457 View(s)",68
80 (1),1676134456-402,Dentist,200 EGP,4.5,Waiting Time : 8 Minutes,Heliopolis : othman ibn affan,From 32 Visitors,"2,539 View(s)",68
81 (1),1676134459-403,Dentist,100 EGP,4.5,Waiting Time : 16 Minutes,Tanta : saeed with omar abd el3aziz,From 117 Visitors,"8,656 View(s)",68
82 (1),1676134486-404,Dentist,150 EGP,4.5,Waiting Time : 22 Minutes,Shoubra : shikolany,From 362 Visitors,"19,941 View(s)",68
83 (1),1676134490-405,Dentist,100 EGP,4.5,Waiting Time : 20 Minutes,El-Mokattam,From 153 Visitors,"6,192 View(s)",68
84 (1),1676134497-406,Dentist,100 EGP,4.5,Waiting Time : 24 Minutes,Faisal : 106 king fisal above ahli bank front of vodafone maryotya,From 209 Visitors,"10,575 View(s)",68
85 (1),1676134500-407,Dentist,200 EGP,4,Waiting Time : 17 Minutes,El-Sayeda Zainab : A Elkasr Eleini,From 61 Visitors,"4,901 View(s)",68
86 (1),1676134504-408,Urologist,120 EGP,4.5,Waiting Time : 9 Minutes,El-Zagazig : next to sednawy hospital,From 1181 Visitors,"60,135 View(s)",68
87 (1),1676134508-409,Orthopedist,250 EGP,4.5,Waiting Time : 12 Minutes,Hadayek El-Ahram : Gardenia Street,From 65 Visitors,"4,226 View(s)",68
88 (1),1676134513-410,Gynecologist,250 EGP,4.5,Waiting Time : 5 Minutes,6th of October,From 294 Visitors,"11,111 View(s)",
89 (1),1676134517-411,Physiotherapist,200 EGP,4.5,Waiting Time : 14 Minutes,New Cairo : El Narges Services Area,From 243 Visitors,"1,845 View(s)",
90 (1),1676134532-412,Physiotherapist,100 EGP,4.5,Waiting Time : 14 Minutes,Sidy Bishr : Alaman st. from sidi Beshr mosque st.,From 176 Visitors,"9,814 View(s)",
91 (1),1676134536-413,Dentist,150 EGP,4.5,Waiting Time : 10 Minutes,El-Mansoura,From 256 Visitors,"22,783 View(s)",
92 (1),1676134538-414,Dentist,150 EGP,4.5,Waiting Time : 30 Minutes,Nasr City :  Mohamed Almakreif,From 206 Visitors,"17,162 View(s)",
93 (1),1676134541-415,Dentist,300 EGP,4.5,Waiting Time : 10 Minutes,Madinaty : Medical Center,From 107 Visitors,"27,831 View(s)",
94 (1),1676134545-416,Orthopedist,250 EGP,4.5,Waiting Time : 28 Minutes,Hadayek El-Ahram : elgish street,From 324 Visitors,"13,548 View(s)",
95 (1),1676134548-417,Gynecologist,200 EGP,4.5,Waiting Time : 24 Minutes,El-Maadi : carrefour road,From 982 Visitors,"39,190 View(s)",
96 (1),1676134551-418,Audiologist,300 EGP,4.5,Waiting Time : 18 Minutes,Faisal : fisal street,From 121 Visitors,"12,865 View(s)",
97 (1),1676134554-419,Dentist,100 EGP,4,Waiting Time : 18 Minutes,"Sidy Bishr : 41 Albekbashy Elesawy st., in front of the Computer Mall.",From 74 Visitors,"7,019 View(s)",
98 (1),1676137028-696,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,706 View(s)",1048
99 (1),1676137031-697,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,184 View(s)",1048
100 (1),1676137034-698,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,745 View(s)",1048
101 (1),1676137037-699,Gynecologist,150 EGP,,null,El-Haram,null,"1,155 View(s)",1048
102 (1),1676137040-700,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,050 View(s)",1048
103 (1),1676137046-701,Pulmonologist,450 EGP,,null,El-Dokki,null,147 View(s),...
104 (1),1676137050-702,Physiotherapist,300 EGP,,null,El-Dokki : Tiba St from Gamaet Dwol,null,47 View(s),...
105 (1),1676137054-703,Dentist,150 EGP,5,Waiting Time : 8 Minutes,"Heliopolis : Ahmed el Dardiry, Ard El Golf",From 3 Visitors,142 View(s),...
106 (1),1676137057-704,Gynecologist,400 EGP,,null,El-Dokki,null,345 View(s),...
107 (1),1676137060-705,Dentist,100 EGP,,null,06-Oct,null,281 View(s),...
108 (1),1676137063-706,Gynecologist,250 EGP,5,Waiting Time : 8 Minutes,El-Manyal : Elmanial street,From 9 Visitors,396 View(s),...
109 (1),1676137065-707,Pediatrician,450 EGP,,null,El-Dokki,null,175 View(s),...
110 (1),1676137068-708,Gynecologist,300 EGP,4.5,Waiting Time : 16 Minutes,Alharam street,From 36 Visitors,"1,223 View(s)",...
111 (1),1676137077-709,Hematologist,400 EGP,4.5,Waiting Time : 48 Minutes,Tanta : El-Geish St.  with Al-Galaa st. Al-Awkaf tower .,From 37 Visitors,"8,110 View(s)",...
112 (1),1676137080-710,Endocrinologist,400 EGP,4.5,Waiting Time : 48 Minutes,Faisal : Faisal First,From 90 Visitors,"7,941 View(s)",...
113 (1),1676137086-711,Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,6th of October : in front of wadi degla club,From 140 Visitors,"8,922 View(s)",90
114 (1),1676137089-712,Internist,400 EGP,4.5,Waiting Time : 29 Minutes,Heliopolis : -behind Miliatry College,From 262 Visitors,"8,916 View(s)",90
115 (1),1676137091-713,Psychiatrist,350 EGP,4.5,Waiting Time : 1 Hour and 54 Minutes,Faisal,From 109 Visitors,"15,932 View(s)",90
116 (1),1676137096-714,Cardiologist,220 EGP,4.5,Waiting Time : 17 Minutes,El-Mansoura : Marinet Mubarak Madina Monawara st.,From 49 Visitors,"7,625 View(s)",90
117 (1),1676137099-715,General Surgeon,150 EGP,4.5,Waiting Time : 7 Minutes,Helwan,From 67 Visitors,"5,551 View(s)",90
118 (1),1676137102-716,Endocrinologist,200 EGP,4.5,Waiting Time : 28 Minutes,El-Haram : Station Mashaal,From 337 Visitors,"20,882 View(s)",90
119 (1),1676137105-717,Gynecologist,300 EGP,5,Waiting Time : 20 Minutes,Hadayek El-Ahram : z,From 3 Visitors,60 View(s),90
120 (1),1676137107-718,Pediatrician,300 EGP,4.5,Waiting Time : 13 Minutes,Alharam street,From 53 Visitors,"1,451 View(s)",90
121 (1),1676137113-719,Internist,500 EGP,4,Waiting Time : 10 Minutes,El-Rehab : Medical Complex 1,From 225 Visitors,"9,950 View(s)",
122 (1),1676137116-720,Rheumatologist,450 EGP,4.5,Waiting Time : 16 Minutes,Heliopolis : hassan aflaton,From 35 Visitors,"1,137 View(s)",
123 (1),1676137119-721,Dentist,200 EGP,5,Waiting Time : 5 Minutes,90 Street,From 8 Visitors,479 View(s),
124 (1),1676137121-722,Gynecologist,300 EGP,4.5,Waiting Time : 8 Minutes,Faisal : King Faisal,From 12 Visitors,"1,027 View(s)",
125 (1),1676137124-723,Dentist,350 EGP,,null,Naguib mahfouz,null,330 View(s),
126 (1),1676137127-724,Cardiologist,250 EGP,5,Waiting Time : 7 Minutes,El-Mansoura : el gomhoria street,From 40 Visitors,"2,316 View(s)",
127 (1),1676137130-725,Gynecologist,280 EGP,4.5,Waiting Time : 18 Minutes,Shoubra El-Kheima,From 16 Visitors,"2,558 View(s)",
128 (1),1676137132-726,Cardiologist,150 EGP,4.5,Waiting Time : 10 Minutes,Menouf,From 12 Visitors,"1,127 View(s)",
129 (1),1676137135-727,General Surgeon,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : twin tower -,From 134 Visitors,"3,617 View(s)",
130 (1),1676137153-728,Nutritionist,250 EGP,4.5,Waiting Time : 6 Minutes,El-Obour City : 9th district,From 46 Visitors,"3,302 View(s)",
131 (1),1676136864-663,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,703 View(s)",1048
132 (1),1676136866-664,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,184 View(s)",1048
133 (1),1676136869-665,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,745 View(s)",1048
134 (1),1676136872-666,Gynecologist,150 EGP,,null,El-Haram,null,"1,155 View(s)",1048
135 (1),1676136875-667,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,050 View(s)",1048
136 (1),1676136882-668,Psychiatrist,400 EGP,4.5,Waiting Time : 57 Minutes,Mahatet El-Raml,From 110 Visitors,"22,518 View(s)",...
137 (1),1676136885-669,Nutritionist,500 EGP,,null,El-Dokki,null,434 View(s),...
138 (1),1676136887-670,Pulmonologist,350 EGP,5,Waiting Time : 8 Minutes,Khamseen Street (Carrefour extension) - Zahraa AlMaadi,From 19 Visitors,730 View(s),...
139 (1),1676136890-671,Orthopedist,400 EGP,,null,"Ali Amin Street, Al Manteqah Al Oula",null,181 View(s),...
140 (1),1676136893-672,Pulmonologist,500 EGP,,null,El-Dokki,null,"1,488 View(s)",...
141 (1),1676136896-673,Pediatrician,500 EGP,4.5,Waiting Time : 47 Minutes,El-Dokki : Tahrir Street-infront Of Asad Abn Elfourat mosque,From 18 Visitors,"2,371 View(s)",...
142 (1),1676136899-674,Pediatrician,150 EGP,4.5,Waiting Time : 13 Minutes,06-Oct,From 87 Visitors,"1,469 View(s)",...
143 (1),1676136902-675,Ophthalmologist,350 EGP,5,Waiting Time : 21 Minutes,Nasr City,From 13 Visitors,985 View(s),...
144 (1),1676136905-676,Internist,500 EGP,4,Waiting Time : 10 Minutes,El-Rehab : Medical Complex 1,From 225 Visitors,"9,950 View(s)",...
145 (1),1676136908-677,Rheumatologist,450 EGP,4.5,Waiting Time : 16 Minutes,Heliopolis : hassan aflaton,From 35 Visitors,"1,137 View(s)",...
146 (1),1676136915-678,Dentist,200 EGP,5,Waiting Time : 5 Minutes,90 Street,From 8 Visitors,479 View(s),88
147 (1),1676136919-679,Gynecologist,300 EGP,4.5,Waiting Time : 8 Minutes,Faisal : King Faisal,From 12 Visitors,"1,027 View(s)",88
148 (1),1676136922-680,Dentist,350 EGP,,null,Naguib mahfouz,null,330 View(s),88
149 (1),1676136925-681,Cardiologist,250 EGP,5,Waiting Time : 7 Minutes,El-Mansoura : el gomhoria street,From 40 Visitors,"2,316 View(s)",88
150 (1),1676136928-682,Gynecologist,280 EGP,4.5,Waiting Time : 18 Minutes,Shoubra El-Kheima,From 16 Visitors,"2,558 View(s)",88
151 (1),1676136931-683,Cardiologist,150 EGP,4.5,Waiting Time : 10 Minutes,Menouf,From 12 Visitors,"1,127 View(s)",88
152 (1),1676136934-684,General Surgeon,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : twin tower -,From 134 Visitors,"3,617 View(s)",88
153 (1),1676136937-685,Nutritionist,250 EGP,4.5,Waiting Time : 6 Minutes,El-Obour City : 9th district,From 46 Visitors,"3,302 View(s)",88
154 (1),1676136942-686,Dentist,100 EGP,,null,06-Oct,null,154 View(s),
155 (1),1676136945-687,Surgical Oncologist,400 EGP,5,Waiting Time : 58 Minutes,micheel bakhoum,From 4 Visitors,"1,813 View(s)",
156 (1),1676136948-688,Dermatologist,180 EGP,4.5,Waiting Time : 18 Minutes,Miamy : gamal abdelnasser,From 95 Visitors,"3,999 View(s)",
157 (1),1676136951-689,Orthopedist,300 EGP,5,Waiting Time : 19 Minutes,El-Dokki,From 12 Visitors,"2,123 View(s)",
158 (1),1676136954-690,Dermatologist,110 EGP,4.5,Waiting Time : 24 Minutes,Aga : elgalaa street,From 28 Visitors,"1,493 View(s)",
159 (1),1676136957-691,Physiotherapist,120 EGP,4.5,Waiting Time : 18 Minutes,Banha : El Ashraf Street,From 37 Visitors,"4,049 View(s)",
160 (1),1676136960-692,Dermatologist,150 EGP,4.5,Waiting Time : 45 Minutes,Moharam Bek : moharm bek st,From 376 Visitors,"15,924 View(s)",
161 (1),1676136963-693,Internist,400 EGP,4,Waiting Time : 17 Minutes,West El-Balad : kasr el neil st,From 164 Visitors,"15,118 View(s)",
162 (1),1676136966-694,Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,6th of October : in front of wadi degla club,From 140 Visitors,"8,920 View(s)",
163 (1),1676136968-695,Psychiatrist,350 EGP,4.5,Waiting Time : 1 Hour and 54 Minutes,Faisal,From 109 Visitors,"15,930 View(s)",
164 (1),1676136682-630,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,703 View(s)",1048
165 (1),1676136685-631,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,184 View(s)",1048
166 (1),1676136688-632,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,743 View(s)",1048
167 (1),1676136691-633,Gynecologist,150 EGP,,null,El-Haram,null,"1,155 View(s)",1048
168 (1),1676136694-634,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,050 View(s)",1048
169 (1),1676136700-635,Endocrinologist,200 EGP,4.5,Waiting Time : 28 Minutes,El-Haram : Station Mashaal,From 337 Visitors,"20,881 View(s)",...
170 (1),1676136703-636,Cardiologist,300 EGP,5,Waiting Time : 13 Minutes,El-Mokattam : Middle Hadaba,From 81 Visitors,"5,213 View(s)",...
171 (1),1676136706-637,Gynecologist,180 EGP,4.5,Waiting Time : 13 Minutes,El-Mansoura :  hamza ebn abdelmotleb street,From 176 Visitors,"12,088 View(s)",...
172 (1),1676136719-638,Internist,270 EGP,4.5,Waiting Time : 8 Minutes,El-Mansoura : abdo maarof street,From 35 Visitors,"6,304 View(s)",...
173 (1),1676136727-639,General Surgeon,300 EGP,5,Waiting Time : 2 Minutes,"Hurghada City : Mohamed Said St. (Metro), El Kawther",From 6 Visitors,"2,920 View(s)",...
174 (1),1676136730-640,Gynecologist,500 EGP,5,Waiting Time : 28 Minutes,El-Dokki : Mosdak Street,From 14 Visitors,"3,683 View(s)",...
175 (1),1676136733-641,General Surgeon,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : twin tower -,From 134 Visitors,"3,617 View(s)",...
176 (1),1676136736-642,Internist,500 EGP,4,Waiting Time : 10 Minutes,El-Rehab : Medical Complex 1,From 225 Visitors,"9,950 View(s)",...
177 (1),1676136742-643,Cardiologist,300 EGP,5,Waiting Time : 11 Minutes,Sporting : Ahmed Allam st from elHorya Road,From 43 Visitors,"1,666 View(s)",...
178 (1),1676136745-644,Gastroenterologist,500 EGP,4.5,Waiting Time : 18 Minutes,Fifth Settlement Medical Center,From 593 Visitors,283 View(s),...
179 (1),1676136751-645,Cardiologist,220 EGP,4.5,Waiting Time : 17 Minutes,El-Mansoura : Marinet Mubarak Madina Monawara st.,From 49 Visitors,"7,624 View(s)",86
180 (1),1676136755-646,Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,6th of October : in front of wadi degla club,From 140 Visitors,"8,920 View(s)",86
181 (1),1676136758-647,Psychiatrist,350 EGP,4.5,Waiting Time : 1 Hour and 54 Minutes,Faisal,From 109 Visitors,"15,930 View(s)",86
182 (1),1676136761-648,Internist,200 EGP,4.5,Waiting Time : 28 Minutes,Mahalla : Talaat Harb street,From 12 Visitors,"1,269 View(s)",86
183 (1),1676136764-649,Gynecologist,350 EGP,4.5,Waiting Time : 14 Minutes,Faisal street,From 407 Visitors,"13,950 View(s)",86
184 (1),1676136767-650,Psychiatrist,210 EGP,4.5,Waiting Time : 43 Minutes,Mahalla,From 207 Visitors,"18,530 View(s)",86
185 (1),1676136776-651,General Surgeon,150 EGP,5,Waiting Time : 7 Minutes,El-Agamy : Goweida moftah street,From 17 Visitors,651 View(s),86
186 (1),1676136779-652,Internist,450 EGP,,null,El-Dokki,null,626 View(s),86
